Name,Simbolo,Precio,Fecha,Link
Kava.io,KAVA,3.53,21-03-2022,https://www.coindesk.com/price/kava-io/
Bitcoin,BTC,"41,481.50",21-03-2022,https://www.coindesk.com/price/bitcoin/
OMG Network,OMG,4.69,21-03-2022,https://www.coindesk.com/price/omgnetwork/
Storj,STORJ,1.10,21-03-2022,https://www.coindesk.com/price/storj/
Skale,SKL,0.129545,21-03-2022,https://www.coindesk.com/price/skale/
0x,ZRX,0.554375,21-03-2022,https://www.coindesk.com/price/0x/
Siacoin,SC,0.009438,21-03-2022,https://www.coindesk.com/price/siacoin/
Qtum,QTUM,6.91,21-03-2022,https://www.coindesk.com/price/qtum/
Bitcoin Gold,BTG,37.82,21-03-2022,https://www.coindesk.com/price/bitcoin-gold/
Keep Network,KEEP,0.625000,21-03-2022,https://www.coindesk.com/price/keep-network/
USD Coin,USDC,0.999601,21-03-2022,https://www.coindesk.com/price/usd-coin/
PAX Gold,PAXG,"1,932.58",21-03-2022,https://www.coindesk.com/price/pax-gold/
Bancor,BNT,2.40,21-03-2022,https://www.coindesk.com/price/bancor/
ICON,ICX,0.772983,21-03-2022,https://www.coindesk.com/price/icon/
Enzyme,MLN,57.71,21-03-2022,https://www.coindesk.com/price/melon/
Tether,USDT,0.999878,21-03-2022,https://www.coindesk.com/price/tether/
Livepeer,LPT,27.11,21-03-2022,https://www.coindesk.com/price/livepeer/
IoTeX,IOTX,0.078442,21-03-2022,https://www.coindesk.com/price/iotex/
Dai,DAI,0.999440,21-03-2022,https://www.coindesk.com/price/dai/
district0x,DNT,0.074772,21-03-2022,https://www.coindesk.com/price/district0x/
Augur,REP,13.91,21-03-2022,https://www.coindesk.com/price/augur/
iExec RLC,RLC,1.90,21-03-2022,https://www.coindesk.com/price/iexec-rlc/
Yearn Finance,YFI,"20,225.03",21-03-2022,https://www.coindesk.com/price/yearn-finance/
Kyber Network,KNC,3.33,21-03-2022,https://www.coindesk.com/price/kyber-network/
Nano,NANO,2.24,21-03-2022,https://www.coindesk.com/price/nano/
NKN,NKN,0.204621,21-03-2022,https://www.coindesk.com/price/nkn/
Orchid,OXT,0.252591,21-03-2022,https://www.coindesk.com/price/orchid/
Aragon,ANT,4.81,21-03-2022,https://www.coindesk.com/price/aragon/
Band Protocol,BAND,3.74,21-03-2022,https://www.coindesk.com/price/band-protocol/
SingularDTV,SNGLS,0.000402,21-03-2022,https://www.coindesk.com/price/singulardtv/
Lisk,LSK,2.15,21-03-2022,https://www.coindesk.com/price/lisk/
Ren,REN,0.362187,21-03-2022,https://www.coindesk.com/price/ren/
Civic,CVC,0.293166,21-03-2022,https://www.coindesk.com/price/civic/
XYO Network,XYO,0.018938,21-03-2022,https://www.coindesk.com/price/xyo-network/
Ankr,ANKR,0.074484,21-03-2022,https://www.coindesk.com/price/ankr/
Numeraire,NMR,29.55,21-03-2022,https://www.coindesk.com/price/numeraire/
Sushiswap,SUSHI,3.39,21-03-2022,https://www.coindesk.com/price/sushiswap/
COTI,COTI,0.213248,21-03-2022,https://www.coindesk.com/price/coti/
Decred,DCR,57.20,21-03-2022,https://www.coindesk.com/price/decred/
Fetch.ai,FET,0.343688,21-03-2022,https://www.coindesk.com/price/fetchai/
UMA Protocol,UMA,7.64,21-03-2022,https://www.coindesk.com/price/uma-protocol/
Loopring,LRC,0.804331,21-03-2022,https://www.coindesk.com/price/loopring/
NEM,XEM,0.105224,21-03-2022,https://www.coindesk.com/price/nem/
Enjin,ENJ,1.45,21-03-2022,https://www.coindesk.com/price/enjin-coin/
Synthetix,SNX,4.99,21-03-2022,https://www.coindesk.com/price/synthetix/
Bitcoin SV,BSV,85.21,21-03-2022,https://www.coindesk.com/price/bitcoin-sv/
Chiliz,CHZ,0.204385,21-03-2022,https://www.coindesk.com/price/chiliz/
Paxos Standard,PAX,0.998661,21-03-2022,https://www.coindesk.com/price/paxos-standard/
BitTorrent,BTT,0.000002,21-03-2022,https://www.coindesk.com/price/bittorrent/
Compound,COMP,114.02,21-03-2022,https://www.coindesk.com/price/compound/
Basic Attention Token,BAT,0.811090,21-03-2022,https://www.coindesk.com/price/basic-attention-token/
NuCypher,NU,0.421676,21-03-2022,https://www.coindesk.com/price/nucypher/
Dash,DASH,122.72,21-03-2022,https://www.coindesk.com/price/dash/
Aave,AAVE,155.07,21-03-2022,https://www.coindesk.com/price/aave/
IOTA,IOTA,0.746413,21-03-2022,https://www.coindesk.com/price/iota/
Maker,MKR,"2,033.38",21-03-2022,https://www.coindesk.com/price/maker/
EOS,EOS,2.39,21-03-2022,https://www.coindesk.com/price/eos/
Kusama,KSM,154.63,21-03-2022,https://www.coindesk.com/price/kusama/
Amp,AMP,0.026902,21-03-2022,https://www.coindesk.com/price/amp/
Tezos,XTZ,3.25,21-03-2022,https://www.coindesk.com/price/tezos/
The Graph,GRT,0.409359,21-03-2022,https://www.coindesk.com/price/the-graph/
NEO,NEO,23.09,21-03-2022,https://www.coindesk.com/price/neo/
Ethereum Classic,ETC,38.72,21-03-2022,https://www.coindesk.com/price/ethereum-classic/
Waves,WAVES,33.10,21-03-2022,https://www.coindesk.com/price/waves/
Curve DAO Token,CRV,2.23,21-03-2022,https://www.coindesk.com/price/curve-dao-token/
Monero,XMR,191.75,21-03-2022,https://www.coindesk.com/price/monero/
Zcash,ZEC,179.84,21-03-2022,https://www.coindesk.com/price/zcash/
Decentraland,MANA,2.42,21-03-2022,https://www.coindesk.com/price/decentraland/
Tron,TRX,0.062020,21-03-2022,https://www.coindesk.com/price/tron/
Bitcoin Cash,BCH,340.49,21-03-2022,https://www.coindesk.com/price/bitcoin-cash/
Celo,CELO,2.89,21-03-2022,https://www.coindesk.com/price/celo/
Filecoin,FIL,17.93,21-03-2022,https://www.coindesk.com/price/filecoin/
Algorand,ALGO,0.813255,21-03-2022,https://www.coindesk.com/price/algorand/
Uniswap,UNI,9.40,21-03-2022,https://www.coindesk.com/price/uniswap/
Cosmos,ATOM,27.81,21-03-2022,https://www.coindesk.com/price/cosmos/
Litecoin,LTC,118.39,21-03-2022,https://www.coindesk.com/price/litecoin/
Axie Infinity,AXS,50.55,21-03-2022,https://www.coindesk.com/price/axie-infinity/
Polygon,MATIC,1.46,21-03-2022,https://www.coindesk.com/price/polygon/
Wrapped Bitcoin,WBTC,"41,547.70",21-03-2022,https://www.coindesk.com/price/wrapped-bitcoin/
Chainlink,LINK,15.08,21-03-2022,https://www.coindesk.com/price/chainlink/
Shiba Inu,SHIB,0.000023,21-03-2022,https://www.coindesk.com/price/shiba-inu/
Dogecoin,DOGE,0.119644,21-03-2022,https://www.coindesk.com/price/dogecoin/
Stellar,XLM,0.202824,21-03-2022,https://www.coindesk.com/price/stellar/
Avalanche,AVAX,85.55,21-03-2022,https://www.coindesk.com/price/avax/
TerraUSD,UST,1.00,21-03-2022,https://www.coindesk.com/price/terrausd/
Internet Computer,ICP,16.98,21-03-2022,https://www.coindesk.com/price/internet-computer/
Solana,SOL,89.54,21-03-2022,https://www.coindesk.com/price/solana/
XRP,XRP,0.846252,21-03-2022,https://www.coindesk.com/price/xrp/
Ethereum,ETH,"2,925.84",21-03-2022,https://www.coindesk.com/price/ethereum/
Cardano,ADA,0.913539,21-03-2022,https://www.coindesk.com/price/cardano/
The Sandbox,SAND,3.11,21-03-2022,https://www.coindesk.com/price/the-sandbox/
Terra,LUNA,94.59,21-03-2022,https://www.coindesk.com/price/terra/
Polkadot,DOT,18.90,21-03-2022,https://www.coindesk.com/price/polkadot/
